forward gliding, coasting on ice, two-foot glide, forward momentum without striding, skating with inertia, skates parallel forward, relaxed forward motion, maintaining speed forward, non-striding forward movement, smooth forward travel
accelerating forward, explosive start, rapid forward strides, digging in skates, sprinting on ice, power skating forward, forward dash, pumping arms and driving legs, generating forward speed, high-frequency forward steps
backward gliding, coasting in reverse, c-cuts backward, skating backwards with momentum, rearward travel, defensive retreat glide, backward momentum, skates staggered backward, monitoring play while moving back, smooth reverse motion
accelerating backward, rapid backward crossovers, explosive backward start, gaining speed in reverse, defensive gap closing, power skating backward, backward sprint, driving legs backward, quick reverse strides, aggressive backward retreat
transition forward to back, mohawk turn, pivoting to backward, reversing direction, hips open turn, stopping forward momentum to switch back, turning 180 degrees, transition pivot, changing from offense to defense, directional switch rearward
transition back to forward, pivoting to forward, opening hips to front, stepping out to forward skate, turning 180 degrees to front, directional switch forward, changing from defense to offense, engaging forward stride from reverse, rotational turn to front, heel-to-heel transition
post whistle gliding, casual skating, relaxing posture, non-competitive movement, slow coasting, waiting for play, upright effortless skating, drifting on ice, low energy skating, circling slowly
faceoff body position, athletic crouch, ready stance, anticipation posture, stick down waiting, hunched for drop, faceoff alignment, center stance, coiled readiness, static low posture
maintain position, defensive athletic stance, guarding territory, holding the line, stationary active stance, ready position, occupying space, knees bent waiting, stick in passing lane, defensive crouch
prone, lying flat on ice, diving block, sprawling on stomach, fallen player, sliding on belly, fully extended on ice, blocking passing lane prone, recovering from fall flat, belly down on ice
on a knee, kneeling block, one knee down, shot blocking stance, recovering balance on knee, resting on one knee, tripod stance, low defensive block, getting up from ice, kneeling stability
